planned_start_time,actual_start_time,gtfs_ride_id
2026-07-19T02:00:00+00:00,2026-07-19T02:00:00+00:00,151038018.0
2026-07-19T02:30:00+00:00,2026-07-19T02:30:00+00:00,151038020.0
2026-07-19T02:50:00+00:00,2026-07-19T02:50:00+00:00,151038019.0
2026-07-19T03:30:00+00:00,2026-07-19T03:30:00+00:00,151056345.0
2026-07-19T03:50:00+00:00,2026-07-19T03:50:00+00:00,151040353.0
2026-07-19T04:50:00+00:00,2026-07-19T04:50:00+00:00,151056341.0
2026-07-19T05:50:00+00:00,2026-07-19T05:50:00+00:00,151056342.0
2026-07-19T06:50:00+00:00,2026-07-19T06:50:00+00:00,151043075.0
2026-07-19T07:50:00+00:00,2026-07-19T07:50:00+00:00,151043076.0
2026-07-19T08:50:00+00:00,2026-07-19T08:50:00+00:00,151056343.0
2026-07-19T09:50:00+00:00,2026-07-19T09:50:00+00:00,151047826.0
2026-07-19T10:50:00+00:00,2026-07-19T10:50:00+00:00,151044646.0
2026-07-19T11:35:00+00:00,2026-07-19T11:35:00+00:00,151089338.0
2026-07-19T12:50:00+00:00,2026-07-19T12:50:00+00:00,151038021.0
2026-07-19T13:20:00+00:00,2026-07-19T13:20:00+00:00,151089339.0
2026-07-19T14:20:00+00:00,2026-07-19T14:20:00+00:00,151043077.0
2026-07-19T16:00:00+00:00,2026-07-19T16:00:00+00:00,151047825.0
2026-07-19T16:40:00+00:00,2026-07-19T16:40:00+00:00,151089337.0
2026-07-19T18:00:00+00:00,2026-07-19T18:00:00+00:00,151047827.0
2026-07-19T18:40:00+00:00,2026-07-19T18:40:00+00:00,151056344.0
,2026-07-18T21:37:00+00:00,
,2026-07-19T03:22:00+00:00,
,2026-07-19T05:27:00+00:00,
,2026-07-19T07:30:00+00:00,
,2026-07-19T10:17:00+00:00,
,2026-07-19T10:31:00+00:00,
