service_date,cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative,exclusion_treatment,exclusion_name,status,selected_line_ref,csv_path,html_path,planned_rides,actual_rides,matched_rides,missing_actual_start,null_gtfs_ride_id_rate,error_type,error_message
2026-07-01,הנגב,15,1,61001,1,#,segment,חופש גדול,ok,7938,data/output/reliability/line_reliability_2026-07-01_op_15_line_7938.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_7938.html,42.0,42.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,1,61001,2,#,segment,חופש גדול,ok,7941,data/output/reliability/line_reliability_2026-07-01_op_15_line_7941.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_7941.html,40.0,40.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,10,27010,1,#,segment,חופש גדול,ok,8206,data/output/reliability/line_reliability_2026-07-01_op_15_line_8206.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_8206.html,34.0,34.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,10,27010,2,#,segment,חופש גדול,ok,8207,data/output/reliability/line_reliability_2026-07-01_op_15_line_8207.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_8207.html,34.0,34.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,11,44011,1,#,segment,חופש גדול,ok,11810,data/output/reliability/line_reliability_2026-07-01_op_15_line_11810.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_11810.html,26.0,26.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,11,44011,2,#,segment,חופש גדול,ok,11811,data/output/reliability/line_reliability_2026-07-01_op_15_line_11811.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_11811.html,24.0,24.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,117,14117,1,#,segment,חופש גדול,ok,22560,data/output/reliability/line_reliability_2026-07-01_op_15_line_22560.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_22560.html,7.0,7.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,117,14117,2,#,segment,חופש גדול,ok,22561,data/output/reliability/line_reliability_2026-07-01_op_15_line_22561.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_22561.html,6.0,6.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,12,43012,1,#,segment,חופש גדול,ok,17965,data/output/reliability/line_reliability_2026-07-01_op_15_line_17965.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_17965.html,1.0,1.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,12,43012,2,#,segment,חופש גדול,ok,17966,data/output/reliability/line_reliability_2026-07-01_op_15_line_17966.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_17966.html,1.0,1.0,0.0,0.0,1.0,,
2026-07-01,הנגב,15,12,43012,3,#,segment,חופש גדול,ok,11812,data/output/reliability/line_reliability_2026-07-01_op_15_line_11812.csv,data/output/reliability/line_reliability_2026-07-01_op_15_line_11812.html,37.0,37.0,0.0,0.0,1.0,,
