service_date,cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative,exclusion_treatment,exclusion_name,status,selected_line_ref,csv_path,html_path,planned_rides,actual_rides,matched_rides,missing_actual_start,null_gtfs_ride_id_rate,error_type,error_message
2026-07-07,שרון,15,1,56001,3,#,segment,חופש גדול,ok,7698,data/output/reliability/line_reliability_2026-07-07_op_15_line_7698.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7698.html,27.0,27.0,26.0,0.0,0.037037037037037035,,
2026-07-07,שרון,15,1,57001,1,#,segment,חופש גדול,ok,7817,data/output/reliability/line_reliability_2026-07-07_op_15_line_7817.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7817.html,54.0,53.0,49.0,1.0,0.07407407407407407,,
2026-07-07,שרון,15,1,57001,2,#,segment,חופש גדול,ok,7819,data/output/reliability/line_reliability_2026-07-07_op_15_line_7819.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7819.html,48.0,47.0,47.0,1.0,0.0,,
2026-07-07,שרון,15,1,60001,2,1,segment,חופש גדול,ok,7828,data/output/reliability/line_reliability_2026-07-07_op_15_line_7828.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7828.html,1.0,1.0,1.0,0.0,0.0,,
2026-07-07,שרון,15,1,60001,3,1,segment,חופש גדול,ok,7831,data/output/reliability/line_reliability_2026-07-07_op_15_line_7831.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7831.html,36.0,36.0,34.0,0.0,0.05555555555555555,,
2026-07-07,שרון,15,1,60001,3,2,segment,חופש גדול,ok,15405,data/output/reliability/line_reliability_2026-07-07_op_15_line_15405.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_15405.html,4.0,4.0,4.0,0.0,0.0,,
2026-07-07,שרון,15,1,60001,3,3,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,1,60001,3,4,segment,חופש גדול,ok,16802,data/output/reliability/line_reliability_2026-07-07_op_15_line_16802.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_16802.html,1.0,1.0,1.0,0.0,0.0,,
2026-07-07,שרון,15,1,60001,3,5,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,10,26010,1,#,segment,חופש גדול,ok,7878,data/output/reliability/line_reliability_2026-07-07_op_15_line_7878.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7878.html,53.0,53.0,49.0,0.0,0.07547169811320754,,
2026-07-07,שרון,15,10,26010,2,#,segment,חופש גדול,ok,7879,data/output/reliability/line_reliability_2026-07-07_op_15_line_7879.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7879.html,52.0,52.0,48.0,0.0,0.07692307692307693,,
2026-07-07,שרון,15,11,35011,1,#,segment,חופש גדול,ok,7881,data/output/reliability/line_reliability_2026-07-07_op_15_line_7881.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7881.html,41.0,41.0,36.0,0.0,0.12195121951219512,,
2026-07-07,שרון,15,11,35011,2,#,segment,חופש גדול,ok,7883,data/output/reliability/line_reliability_2026-07-07_op_15_line_7883.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7883.html,39.0,38.0,34.0,1.0,0.10256410256410256,,
2026-07-07,שרון,15,112,16112,1,#,segment,חופש גדול,ok,41216,data/output/reliability/line_reliability_2026-07-07_op_15_line_41216.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41216.html,14.0,14.0,13.0,0.0,0.07142857142857142,,
2026-07-07,שרון,15,112,16112,2,#,segment,חופש גדול,ok,41217,data/output/reliability/line_reliability_2026-07-07_op_15_line_41217.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41217.html,13.0,13.0,12.0,0.0,0.07692307692307693,,
2026-07-07,שרון,15,118,11118,1,#,segment,חופש גדול,ok,10849,data/output/reliability/line_reliability_2026-07-07_op_15_line_10849.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_10849.html,21.0,21.0,19.0,0.0,0.09523809523809523,,
2026-07-07,שרון,15,118,11118,2,#,segment,חופש גדול,ok,10851,data/output/reliability/line_reliability_2026-07-07_op_15_line_10851.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_10851.html,22.0,22.0,20.0,0.0,0.09090909090909091,,
2026-07-07,שרון,15,12,56012,1,#,segment,חופש גדול,ok,41212,data/output/reliability/line_reliability_2026-07-07_op_15_line_41212.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41212.html,50.0,49.0,46.0,1.0,0.06,,
2026-07-07,שרון,15,12,56012,2,#,segment,חופש גדול,ok,41213,data/output/reliability/line_reliability_2026-07-07_op_15_line_41213.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41213.html,50.0,50.0,46.0,0.0,0.08,,
2026-07-07,שרון,15,13,40013,1,#,segment,חופש גדול,ok,40490,data/output/reliability/line_reliability_2026-07-07_op_15_line_40490.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_40490.html,50.0,50.0,46.0,0.0,0.08,,
2026-07-07,שרון,15,13,40013,2,#,segment,חופש גדול,ok,40491,data/output/reliability/line_reliability_2026-07-07_op_15_line_40491.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_40491.html,53.0,53.0,46.0,0.0,0.1320754716981132,,
2026-07-07,שרון,15,139,15139,1,#,segment,חופש גדול,ok,15118,data/output/reliability/line_reliability_2026-07-07_op_15_line_15118.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_15118.html,1.0,1.0,1.0,0.0,0.0,,
2026-07-07,שרון,15,139,15139,2,#,segment,חופש גדול,ok,15119,data/output/reliability/line_reliability_2026-07-07_op_15_line_15119.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_15119.html,1.0,1.0,1.0,0.0,0.0,,
2026-07-07,שרון,15,14,51014,1,#,segment,חופש גדול,ok,41210,data/output/reliability/line_reliability_2026-07-07_op_15_line_41210.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41210.html,47.0,47.0,46.0,0.0,0.02127659574468085,,
2026-07-07,שרון,15,14,51014,2,#,segment,חופש גדול,ok,41211,data/output/reliability/line_reliability_2026-07-07_op_15_line_41211.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41211.html,48.0,48.0,46.0,0.0,0.041666666666666664,,
2026-07-07,שרון,15,14,52014,1,#,segment,חופש גדול,ok,20166,data/output/reliability/line_reliability_2026-07-07_op_15_line_20166.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_20166.html,56.0,56.0,51.0,0.0,0.08928571428571429,,
2026-07-07,שרון,15,14,52014,1,1,segment,חופש גדול,ok,20415,data/output/reliability/line_reliability_2026-07-07_op_15_line_20415.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_20415.html,2.0,2.0,2.0,0.0,0.0,,
2026-07-07,שרון,15,14,52014,2,#,segment,חופש גדול,ok,20167,data/output/reliability/line_reliability_2026-07-07_op_15_line_20167.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_20167.html,55.0,54.0,51.0,1.0,0.05454545454545454,,
2026-07-07,שרון,15,14,52014,2,1,segment,חופש גדול,ok,20416,data/output/reliability/line_reliability_2026-07-07_op_15_line_20416.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_20416.html,1.0,1.0,1.0,0.0,0.0,,
2026-07-07,שרון,15,147,13147,1,#,segment,חופש גדול,ok,7715,data/output/reliability/line_reliability_2026-07-07_op_15_line_7715.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7715.html,8.0,8.0,7.0,0.0,0.125,,
2026-07-07,שרון,15,148,17148,1,#,segment,חופש גדול,ok,21697,data/output/reliability/line_reliability_2026-07-07_op_15_line_21697.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_21697.html,19.0,19.0,16.0,0.0,0.15789473684210525,,
2026-07-07,שרון,15,148,17148,2,#,segment,חופש גדול,ok,21698,data/output/reliability/line_reliability_2026-07-07_op_15_line_21698.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_21698.html,17.0,17.0,16.0,0.0,0.058823529411764705,,
2026-07-07,שרון,15,149,12149,1,#,segment,חופש גדול,ok,7716,data/output/reliability/line_reliability_2026-07-07_op_15_line_7716.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7716.html,93.0,91.0,83.0,2.0,0.08602150537634409,,
2026-07-07,שרון,15,149,12149,2,#,segment,חופש גדול,ok,7719,data/output/reliability/line_reliability_2026-07-07_op_15_line_7719.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7719.html,90.0,88.0,74.0,2.0,0.15555555555555556,,
2026-07-07,שרון,15,149,12149,2,1,segment,חופש גדול,ok,7720,data/output/reliability/line_reliability_2026-07-07_op_15_line_7720.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7720.html,9.0,9.0,9.0,0.0,0.0,,
2026-07-07,שרון,15,15,69015,1,#,segment,חופש גדול,ok,16812,data/output/reliability/line_reliability_2026-07-07_op_15_line_16812.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_16812.html,51.0,51.0,48.0,0.0,0.058823529411764705,,
2026-07-07,שרון,15,15,69015,2,#,segment,חופש גדול,ok,16813,data/output/reliability/line_reliability_2026-07-07_op_15_line_16813.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_16813.html,58.0,57.0,48.0,1.0,0.15517241379310345,,
2026-07-07,שרון,15,17,24017,1,#,segment,חופש גדול,ok,7902,data/output/reliability/line_reliability_2026-07-07_op_15_line_7902.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7902.html,23.0,23.0,22.0,0.0,0.043478260869565216,,
2026-07-07,שרון,15,17,24017,1,1,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,17,24017,2,#,segment,חופש גדול,ok,7904,data/output/reliability/line_reliability_2026-07-07_op_15_line_7904.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7904.html,21.0,21.0,20.0,0.0,0.047619047619047616,,
2026-07-07,שרון,15,17,24017,2,1,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,17,45017,1,#,segment,חופש גדול,ok,41214,data/output/reliability/line_reliability_2026-07-07_op_15_line_41214.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41214.html,42.0,42.0,37.0,0.0,0.11904761904761904,,
2026-07-07,שרון,15,17,45017,2,#,segment,חופש גדול,ok,41215,data/output/reliability/line_reliability_2026-07-07_op_15_line_41215.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_41215.html,41.0,41.0,37.0,0.0,0.0975609756097561,,
2026-07-07,שרון,15,18,25018,1,#,segment,חופש גדול,ok,21379,data/output/reliability/line_reliability_2026-07-07_op_15_line_21379.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_21379.html,9.0,9.0,9.0,0.0,0.0,,
2026-07-07,שרון,15,18,25018,2,#,segment,חופש גדול,ok,21380,data/output/reliability/line_reliability_2026-07-07_op_15_line_21380.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_21380.html,10.0,10.0,10.0,0.0,0.0,,
2026-07-07,שרון,15,19,21019,1,#,segment,חופש גדול,ok,7909,data/output/reliability/line_reliability_2026-07-07_op_15_line_7909.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7909.html,5.0,5.0,5.0,0.0,0.0,,
2026-07-07,שרון,15,19,21019,2,#,segment,חופש גדול,ok,7911,data/output/reliability/line_reliability_2026-07-07_op_15_line_7911.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7911.html,5.0,5.0,5.0,0.0,0.0,,
2026-07-07,שרון,15,19,48019,2,#,segment,חופש גדול,ok,20818,data/output/reliability/line_reliability_2026-07-07_op_15_line_20818.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_20818.html,56.0,56.0,53.0,0.0,0.05357142857142857,,
2026-07-07,שרון,15,2,46002,1,#,segment,חופש גדול,ok,7833,data/output/reliability/line_reliability_2026-07-07_op_15_line_7833.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7833.html,1.0,1.0,1.0,0.0,0.0,,
2026-07-07,שרון,15,2,46002,3,#,segment,חופש גדול,ok,11850,data/output/reliability/line_reliability_2026-07-07_op_15_line_11850.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_11850.html,56.0,53.0,52.0,3.0,0.017857142857142856,,
2026-07-07,שרון,15,20,22020,3,#,segment,חופש גדול,ok,7913,data/output/reliability/line_reliability_2026-07-07_op_15_line_7913.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7913.html,6.0,6.0,6.0,0.0,0.0,,
2026-07-07,שרון,15,21,27021,1,#,segment,חופש גדול,ok,21367,data/output/reliability/line_reliability_2026-07-07_op_15_line_21367.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_21367.html,32.0,32.0,31.0,0.0,0.03125,,
2026-07-07,שרון,15,21,27021,2,#,segment,חופש גדול,ok,21372,data/output/reliability/line_reliability_2026-07-07_op_15_line_21372.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_21372.html,32.0,32.0,30.0,0.0,0.0625,,
2026-07-07,שרון,15,22,43022,1,#,segment,חופש גדול,ok,38751,data/output/reliability/line_reliability_2026-07-07_op_15_line_38751.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_38751.html,12.0,12.0,11.0,0.0,0.08333333333333333,,
2026-07-07,שרון,15,22,43022,2,#,segment,חופש גדול,ok,38750,data/output/reliability/line_reliability_2026-07-07_op_15_line_38750.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_38750.html,21.0,21.0,16.0,0.0,0.23809523809523808,,
2026-07-07,שרון,15,228,10228,1,#,segment,חופש גדול,ok,11101,data/output/reliability/line_reliability_2026-07-07_op_15_line_11101.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_11101.html,2.0,2.0,2.0,0.0,0.0,,
2026-07-07,שרון,15,228,10228,2,#,segment,חופש גדול,ok,11102,data/output/reliability/line_reliability_2026-07-07_op_15_line_11102.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_11102.html,2.0,2.0,2.0,0.0,0.0,,
2026-07-07,שרון,15,230,11230,1,#,segment,חופש גדול,ok,7727,data/output/reliability/line_reliability_2026-07-07_op_15_line_7727.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7727.html,8.0,8.0,7.0,0.0,0.125,,
2026-07-07,שרון,15,230,11230,2,#,segment,חופש גדול,ok,7728,data/output/reliability/line_reliability_2026-07-07_op_15_line_7728.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7728.html,7.0,6.0,6.0,1.0,0.0,,
2026-07-07,שרון,15,231,11231,1,#,segment,חופש גדול,ok,9485,data/output/reliability/line_reliability_2026-07-07_op_15_line_9485.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_9485.html,4.0,2.0,1.0,2.0,0.25,,
2026-07-07,שרון,15,231,11231,2,#,segment,חופש גדול,ok,9486,data/output/reliability/line_reliability_2026-07-07_op_15_line_9486.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_9486.html,6.0,6.0,6.0,0.0,0.0,,
2026-07-07,שרון,15,247,12247,1,#,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,247,12247,2,#,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,248,14248,1,#,segment,חופש גדול,ok,15106,data/output/reliability/line_reliability_2026-07-07_op_15_line_15106.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_15106.html,3.0,3.0,3.0,0.0,0.0,,
2026-07-07,שרון,15,248,14248,2,#,segment,חופש גדול,ok,15107,data/output/reliability/line_reliability_2026-07-07_op_15_line_15107.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_15107.html,3.0,3.0,3.0,0.0,0.0,,
2026-07-07,שרון,15,249,11249,1,#,segment,חופש גדול,ok,10119,data/output/reliability/line_reliability_2026-07-07_op_15_line_10119.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_10119.html,61.0,60.0,58.0,1.0,0.03278688524590164,,
2026-07-07,שרון,15,249,11249,2,#,segment,חופש גדול,ok,10120,data/output/reliability/line_reliability_2026-07-07_op_15_line_10120.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_10120.html,55.0,54.0,51.0,1.0,0.05454545454545454,,
2026-07-07,שרון,15,259,10259,1,#,segment,חופש גדול,ok,11097,data/output/reliability/line_reliability_2026-07-07_op_15_line_11097.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_11097.html,33.0,31.0,30.0,2.0,0.030303030303030304,,
2026-07-07,שרון,15,259,10259,2,#,segment,חופש גדול,ok,11098,data/output/reliability/line_reliability_2026-07-07_op_15_line_11098.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_11098.html,38.0,37.0,31.0,1.0,0.15789473684210525,,
2026-07-07,שרון,15,27,18027,1,#,segment,חופש גדול,ok,7921,data/output/reliability/line_reliability_2026-07-07_op_15_line_7921.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7921.html,46.0,45.0,42.0,1.0,0.06521739130434782,,
2026-07-07,שרון,15,27,18027,2,#,segment,חופש גדול,ok,7922,data/output/reliability/line_reliability_2026-07-07_op_15_line_7922.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7922.html,48.0,47.0,42.0,1.0,0.10416666666666667,,
2026-07-07,שרון,15,29,19029,1,#,segment,חופש גדול,ok,7924,data/output/reliability/line_reliability_2026-07-07_op_15_line_7924.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7924.html,94.0,93.0,92.0,1.0,0.010638297872340425,,
2026-07-07,שרון,15,29,19029,1,3,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,29,19029,2,#,segment,חופש גדול,ok,7929,data/output/reliability/line_reliability_2026-07-07_op_15_line_7929.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7929.html,103.0,103.0,97.0,0.0,0.05825242718446602,,
2026-07-07,שרון,15,29,19029,2,3,segment,חופש גדול,error,,,,,,,,,LineSelectionError,No line_ref candidates matched the requested date/operator/route identity
2026-07-07,שרון,15,3,42003,1,#,segment,חופש גדול,ok,20816,data/output/reliability/line_reliability_2026-07-07_op_15_line_20816.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_20816.html,54.0,54.0,49.0,0.0,0.09259259259259259,,
2026-07-07,שרון,15,3,42003,2,#,segment,חופש גדול,ok,20817,data/output/reliability/line_reliability_2026-07-07_op_15_line_20817.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_20817.html,54.0,53.0,47.0,1.0,0.1111111111111111,,
2026-07-07,שרון,15,3,43003,3,#,segment,חופש גדול,ok,7843,data/output/reliability/line_reliability_2026-07-07_op_15_line_7843.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7843.html,33.0,32.0,30.0,1.0,0.06060606060606061,,
2026-07-07,שרון,15,30,33030,1,#,segment,חופש גדול,ok,15104,data/output/reliability/line_reliability_2026-07-07_op_15_line_15104.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_15104.html,3.0,3.0,3.0,0.0,0.0,,
2026-07-07,שרון,15,30,33030,2,#,segment,חופש גדול,ok,15105,data/output/reliability/line_reliability_2026-07-07_op_15_line_15105.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_15105.html,5.0,5.0,4.0,0.0,0.2,,
2026-07-07,שרון,15,31,33031,1,#,segment,חופש גדול,ok,29462,data/output/reliability/line_reliability_2026-07-07_op_15_line_29462.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_29462.html,46.0,46.0,42.0,0.0,0.08695652173913043,,
2026-07-07,שרון,15,31,33031,2,#,segment,חופש גדול,ok,29463,data/output/reliability/line_reliability_2026-07-07_op_15_line_29463.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_29463.html,47.0,47.0,43.0,0.0,0.0851063829787234,,
2026-07-07,שרון,15,32,20032,1,#,segment,חופש גדול,ok,7934,data/output/reliability/line_reliability_2026-07-07_op_15_line_7934.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7934.html,4.0,4.0,4.0,0.0,0.0,,
2026-07-07,שרון,15,32,20032,1,1,segment,חופש גדול,ok,7935,data/output/reliability/line_reliability_2026-07-07_op_15_line_7935.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7935.html,1.0,1.0,1.0,0.0,0.0,,
2026-07-07,שרון,15,32,20032,2,#,segment,חופש גדול,ok,7936,data/output/reliability/line_reliability_2026-07-07_op_15_line_7936.csv,data/output/reliability/line_reliability_2026-07-07_op_15_line_7936.html,4.0,4.0,4.0,0.0,0.0,,
