service_date,cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative,exclusion_treatment,exclusion_name,status,selected_line_ref,csv_path,html_path,planned_rides,actual_rides,matched_rides,missing_actual_start,null_gtfs_ride_id_rate,error_type,error_message
2026-09-06,שרון חולון מרחבי,15,1,27001,1,#,normal,,ok,33271,data/output/reliability/line_reliability_2026-09-06_op_15_line_33271.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33271.html,28.0,25.0,24.0,3.0,0.03571428571428571,,
2026-09-06,שרון חולון מרחבי,15,1,27001,2,#,normal,,ok,33272,data/output/reliability/line_reliability_2026-09-06_op_15_line_33272.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33272.html,29.0,26.0,25.0,3.0,0.034482758620689655,,
2026-09-06,שרון חולון מרחבי,15,113,17113,1,#,normal,,ok,16190,data/output/reliability/line_reliability_2026-09-06_op_15_line_16190.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16190.html,19.0,19.0,19.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,113,17113,2,#,normal,,ok,16191,data/output/reliability/line_reliability_2026-09-06_op_15_line_16191.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16191.html,20.0,20.0,18.0,0.0,0.1,,
2026-09-06,שרון חולון מרחבי,15,12,23012,1,#,normal,,ok,23397,data/output/reliability/line_reliability_2026-09-06_op_15_line_23397.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_23397.html,39.0,38.0,36.0,1.0,0.05128205128205128,,
2026-09-06,שרון חולון מרחבי,15,12,23012,1,1,normal,,ok,2312,data/output/reliability/line_reliability_2026-09-06_op_15_line_2312.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_2312.html,5.0,5.0,5.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,12,23012,2,#,normal,,ok,23398,data/output/reliability/line_reliability_2026-09-06_op_15_line_23398.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_23398.html,39.0,39.0,36.0,0.0,0.07692307692307693,,
2026-09-06,שרון חולון מרחבי,15,12,23012,2,1,normal,,ok,27069,data/output/reliability/line_reliability_2026-09-06_op_15_line_27069.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_27069.html,5.0,5.0,5.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,123,12123,1,#,normal,,ok,16747,data/output/reliability/line_reliability_2026-09-06_op_15_line_16747.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16747.html,20.0,20.0,17.0,0.0,0.15,,
2026-09-06,שרון חולון מרחבי,15,123,12123,2,#,normal,,ok,16748,data/output/reliability/line_reliability_2026-09-06_op_15_line_16748.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16748.html,19.0,19.0,17.0,0.0,0.10526315789473684,,
2026-09-06,שרון חולון מרחבי,15,124,14124,1,#,normal,,ok,17174,data/output/reliability/line_reliability_2026-09-06_op_15_line_17174.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_17174.html,15.0,15.0,15.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,124,14124,2,#,normal,,ok,17175,data/output/reliability/line_reliability_2026-09-06_op_15_line_17175.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_17175.html,14.0,13.0,13.0,1.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,126,11126,1,#,normal,,ok,9866,data/output/reliability/line_reliability_2026-09-06_op_15_line_9866.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_9866.html,78.0,77.0,76.0,1.0,0.01282051282051282,,
2026-09-06,שרון חולון מרחבי,15,126,11126,2,#,normal,,ok,9867,data/output/reliability/line_reliability_2026-09-06_op_15_line_9867.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_9867.html,67.0,64.0,64.0,3.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,13,27013,1,#,normal,,ok,15399,data/output/reliability/line_reliability_2026-09-06_op_15_line_15399.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_15399.html,31.0,31.0,28.0,0.0,0.0967741935483871,,
2026-09-06,שרון חולון מרחבי,15,13,27013,1,1,normal,,ok,21374,data/output/reliability/line_reliability_2026-09-06_op_15_line_21374.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_21374.html,5.0,5.0,5.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,13,27013,2,#,normal,,ok,7894,data/output/reliability/line_reliability_2026-09-06_op_15_line_7894.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_7894.html,39.0,38.0,35.0,1.0,0.07692307692307693,,
2026-09-06,שרון חולון מרחבי,15,13,27013,2,1,normal,,ok,15008,data/output/reliability/line_reliability_2026-09-06_op_15_line_15008.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_15008.html,1.0,1.0,1.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,13,36013,1,#,normal,,ok,36503,data/output/reliability/line_reliability_2026-09-06_op_15_line_36503.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_36503.html,79.0,79.0,75.0,0.0,0.05063291139240506,,
2026-09-06,שרון חולון מרחבי,15,13,36013,2,#,normal,,ok,36504,data/output/reliability/line_reliability_2026-09-06_op_15_line_36504.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_36504.html,82.0,82.0,81.0,0.0,0.012195121951219513,,
2026-09-06,שרון חולון מרחבי,15,140,12140,1,#,normal,,ok,33254,data/output/reliability/line_reliability_2026-09-06_op_15_line_33254.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33254.html,23.0,23.0,18.0,0.0,0.21739130434782608,,
2026-09-06,שרון חולון מרחבי,15,140,12140,2,#,normal,,ok,33277,data/output/reliability/line_reliability_2026-09-06_op_15_line_33277.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33277.html,19.0,19.0,17.0,0.0,0.10526315789473684,,
2026-09-06,שרון חולון מרחבי,15,142,13142,1,#,normal,,ok,33278,data/output/reliability/line_reliability_2026-09-06_op_15_line_33278.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33278.html,24.0,24.0,24.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,142,13142,2,#,normal,,ok,33279,data/output/reliability/line_reliability_2026-09-06_op_15_line_33279.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_33279.html,27.0,27.0,24.0,0.0,0.1111111111111111,,
2026-09-06,שרון חולון מרחבי,15,145,12145,1,#,normal,,ok,16192,data/output/reliability/line_reliability_2026-09-06_op_15_line_16192.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16192.html,10.0,10.0,9.0,0.0,0.1,,
2026-09-06,שרון חולון מרחבי,15,145,12145,1,1,normal,,ok,16193,data/output/reliability/line_reliability_2026-09-06_op_15_line_16193.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16193.html,4.0,4.0,4.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,145,12145,2,#,normal,,ok,16194,data/output/reliability/line_reliability_2026-09-06_op_15_line_16194.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16194.html,8.0,8.0,8.0,0.0,0.0,,
2026-09-06,שרון חולון מרחבי,15,145,12145,2,1,normal,,ok,16195,data/output/reliability/line_reliability_2026-09-06_op_15_line_16195.csv,data/output/reliability/line_reliability_2026-09-06_op_15_line_16195.html,4.0,4.0,4.0,0.0,0.0,,
