operator_ref,operator_name,service_date,planned,executed,missing
3,אגד,2026-05-24,24585,24315,270
3,אגד,2026-05-25,23396,23248,148
3,אגד,2026-05-26,20698,20408,290
3,אגד,2026-05-27,17950,17670,280
3,אגד,2026-05-28,18169,18002,167
3,אגד,2026-05-29,11528,11447,81
3,אגד,2026-05-30,3212,3190,22
4,אלקטרה אפיקים תחבורה,2026-05-24,2333,2273,60
4,אלקטרה אפיקים תחבורה,2026-05-25,2221,2168,53
4,אלקטרה אפיקים תחבורה,2026-05-26,1709,1655,54
4,אלקטרה אפיקים תחבורה,2026-05-27,1550,1427,123
4,אלקטרה אפיקים תחבורה,2026-05-28,1565,1528,37
4,אלקטרה אפיקים תחבורה,2026-05-29,985,969,16
4,אלקטרה אפיקים תחבורה,2026-05-30,360,342,18
5,דן,2026-05-24,12589,12545,44
5,דן,2026-05-25,12386,12267,119
5,דן,2026-05-26,10480,10007,473
5,דן,2026-05-27,6851,6844,7
5,דן,2026-05-28,6861,6844,17
5,דן,2026-05-29,3782,3774,8
5,דן,2026-05-30,804,802,2
15,מטרופולין,2026-05-24,12425,12225,200
15,מטרופולין,2026-05-25,12184,12031,153
15,מטרופולין,2026-05-26,11898,10656,1242
15,מטרופולין,2026-05-27,7363,5046,2317
15,מטרופולין,2026-05-28,7447,5251,2196
15,מטרופולין,2026-05-29,4317,4298,19
15,מטרופולין,2026-05-30,1302,1292,10
16,סופרבוס,2026-05-24,11843,11766,77
16,סופרבוס,2026-05-25,11708,11588,120
16,סופרבוס,2026-05-26,11387,11133,254
16,סופרבוס,2026-05-27,7321,7278,43
16,סופרבוס,2026-05-28,7448,7400,48
16,סופרבוס,2026-05-29,4935,4903,32
16,סופרבוס,2026-05-30,1634,1626,8
18,קווים,2026-05-24,13839,13537,302
18,קווים,2026-05-25,13769,13498,271
18,קווים,2026-05-26,13052,11539,1513
18,קווים,2026-05-27,8565,8322,243
18,קווים,2026-05-28,8969,8758,211
18,קווים,2026-05-29,7219,6533,686
18,קווים,2026-05-30,1582,1535,47
25,אלקטרה אפיקים,2026-05-24,8395,8297,98
25,אלקטרה אפיקים,2026-05-25,8323,8260,63
25,אלקטרה אפיקים,2026-05-26,7679,7516,163
25,אלקטרה אפיקים,2026-05-27,5464,4751,713
25,אלקטרה אפיקים,2026-05-28,5504,5275,229
25,אלקטרה אפיקים,2026-05-29,2987,2979,8
25,אלקטרה אפיקים,2026-05-30,663,660,3
34,תנופה,2026-05-24,3067,2743,324
34,תנופה,2026-05-25,2958,2639,319
34,תנופה,2026-05-26,2829,2494,335
34,תנופה,2026-05-27,2065,1742,323
34,תנופה,2026-05-28,2083,1890,193
34,תנופה,2026-05-29,1266,1112,154
34,תנופה,2026-05-30,414,350,64
