id,gtfs_route_id,journey_ref,start_time,end_time,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_short_name,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_direction,gtfs_route__route_alternative,gtfs_route__agency_name,gtfs_route__route_type,makat_input
141164554,8742873,53400021_120426,2026-04-13T02:40:00+00:00,2026-04-13T03:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164544,8742873,41657184_120426,2026-04-13T03:40:00+00:00,2026-04-13T04:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164568,8742874,53400099_120426,2026-04-13T04:15:00+00:00,2026-04-13T05:02:45+00:00,2026-04-13,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
141164545,8742873,41657189_120426,2026-04-13T04:40:00+00:00,2026-04-13T05:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164567,8742874,50252393_120426,2026-04-13T05:20:00+00:00,2026-04-13T06:07:45+00:00,2026-04-13,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
141164546,8742873,41657194_120426,2026-04-13T05:40:00+00:00,2026-04-13T06:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164556,8742874,41657266_120426,2026-04-13T06:15:00+00:00,2026-04-13T07:02:45+00:00,2026-04-13,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
141164542,8742873,25801312_120426,2026-04-13T06:40:00+00:00,2026-04-13T07:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164557,8742874,41657271_120426,2026-04-13T07:15:00+00:00,2026-04-13T08:02:45+00:00,2026-04-13,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
141164547,8742873,41657204_120426,2026-04-13T07:40:00+00:00,2026-04-13T08:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164558,8742874,41657276_120426,2026-04-13T08:15:00+00:00,2026-04-13T09:02:45+00:00,2026-04-13,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
141164543,8742873,25801314_120426,2026-04-13T08:40:00+00:00,2026-04-13T09:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164559,8742874,41657281_120426,2026-04-13T09:15:00+00:00,2026-04-13T10:02:45+00:00,2026-04-13,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
141164548,8742873,41657214_120426,2026-04-13T09:40:00+00:00,2026-04-13T10:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
141164560,8742874,41657286_120426,2026-04-13T10:15:00+00:00,2026-04-13T11:02:45+00:00,2026-04-13,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
141164549,8742873,41657219_120426,2026-04-13T10:40:00+00:00,2026-04-13T11:29:54+00:00,2026-04-13,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
