id,gtfs_route_id,journey_ref,start_time,end_time,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_short_name,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_direction,gtfs_route__route_alternative,gtfs_route__agency_name,gtfs_route__route_type,makat_input
144552688,8941490,3961151_170526,2026-05-18T02:00:00+00:00,2026-05-18T02:58:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144586471,8941491,53399469_170526,2026-05-18T02:05:00+00:00,2026-05-18T03:04:40+00:00,2026-05-18,5193,15,501,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מסוף רעננה/דרך השרון-רעננה-2#,11501,2,#,מטרופולין,3,11501
144586456,8941490,586143302_170526,2026-05-18T02:05:00+00:00,2026-05-18T03:03:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144584334,8941490,586143301_170526,2026-05-18T02:10:00+00:00,2026-05-18T03:08:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144586451,8941490,3961152_170526,2026-05-18T02:15:00+00:00,2026-05-18T03:13:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144585702,8941490,45805917_170526,2026-05-18T02:20:00+00:00,2026-05-18T03:18:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144584345,8941491,53399470_170526,2026-05-18T02:20:00+00:00,2026-05-18T03:19:40+00:00,2026-05-18,5193,15,501,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מסוף רעננה/דרך השרון-רעננה-2#,11501,2,#,מטרופולין,3,11501
144582398,8941490,1346193_170526,2026-05-18T02:30:00+00:00,2026-05-18T03:28:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144586602,8941491,45497331_170526,2026-05-18T02:35:00+00:00,2026-05-18T03:34:40+00:00,2026-05-18,5193,15,501,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מסוף רעננה/דרך השרון-רעננה-2#,11501,2,#,מטרופולין,3,11501
144582783,8941490,46672039_170526,2026-05-18T02:40:00+00:00,2026-05-18T03:38:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144582399,8941490,1346194_170526,2026-05-18T02:50:00+00:00,2026-05-18T03:48:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
144552691,8941490,6731298_170526,2026-05-18T03:00:00+00:00,2026-05-18T03:58:33+00:00,2026-05-18,5189,15,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11501,1,#,מטרופולין,3,11501
