trip_id,source_trip_id,service_day,catalog_number,sign,direction,alternative,line_id,origin_stop_id,destination_stop_id,day_offset,departure_min,arrival_min,duration_min,vehicle_type_ids,distance_km,existing_flag,custom_json,daily_passengers,weekly_passengers,avg_commuters_per_ride_weekly,low_demand_flag
1,1,unknown,70001,1,1,0,,31313,33551,0,0,57,57,urban,15.21,,,,,,True
2,2,unknown,70001,1,2,0,,33550,35315,0,0,57,57,urban,14.884,,,,,,True
3,3,unknown,24004,4,1,0,,35629,30883,0,0,15,15,,5.001,,,,,,True
4,4,unknown,24004,4,2,0,,35628,38586,0,0,17,17,,5.075,,,,,,True
5,5,unknown,69005,5,1,0,,35629,30883,0,0,39,39,,8.079,,,,,,True
6,6,unknown,69005,5,2,0,,35628,38586,0,0,30,30,,8.724,,,,,,True
7,7,unknown,47006,6,1,0,,35629,33559,0,0,26,26,,7.56,,,,,,True
8,8,unknown,47006,6,2,0,,33559,38586,0,0,29,29,,8.583,,,,,,True
9,9,unknown,22007,7,2,0,,37538,26807,0,0,97,97,,18.29,,,,,,True
10,10,unknown,23018,18,1,0,,26945,35335,0,0,56,56,urban,17.749,,,,,,True
11,11,unknown,40028,28,1,0,,20789,33551,0,0,75,75,urban,16.201,,,,,,True
12,12,unknown,40028,28,2,0,,33550,20788,0,0,76,76,urban,17.273,,,,,,True
13,13,unknown,28055,55,1,0,,20277,33551,0,0,72,72,,19.716,,,,,,True
14,14,unknown,28055,55,2,0,,33550,25867,0,0,60,60,,19.063,,,,,,True
15,15,unknown,23056,56,1,0,,20277,31574,0,0,83,83,,22.068,,,,,,True
16,16,unknown,23056,56,2,0,,31052,25867,0,0,79,79,,21.135,,,,,,True
17,17,unknown,14068,68,1,0,,20277,33551,0,0,75,75,,20.409,,,,,,True
18,18,unknown,14068,68,2,0,,33550,25867,0,0,53,53,,20.664,,,,,,True
19,19,unknown,11179,179,2,0,,33599,38586,0,0,50,50,,23.289,,,,,,True
20,20,unknown,10236,236,1,0,,25358,35335,0,0,51,51,urban,16.679,,,,,,True
21,21,unknown,14256,256,2,0,,20001,36639,0,0,43,43,urban,16.346,,,,,,True
22,22,unknown,10277,277,1,0,,35628,2000,0,0,105,105,,60.063,,,,,,True
23,23,unknown,10277,277,2,0,,2007,30883,0,0,100,100,,60.455,,,,,,True
24,24,unknown,19279,279,2,0,,36583,38586,0,0,50,50,,23.212,,,,,,True
25,25,unknown,12281,281,2,0,,61417,30883,0,0,75,75,,40.244,,,,,,True
26,26,unknown,47006,6,1,0,,35629,33559,0,60,86,26,,7.56,,,,,,True
27,27,unknown,20036,36,2,0,,31313,25867,0,240,328,88,,17.287,,,,,,True
28,28,unknown,21037,37,2,0,,31581,27997,0,240,299,59,urban,19.037,,,,,,True
29,29,unknown,23076,76,2,0,,35315,33598,0,240,309,69,urban,15.606,,,,,,True
30,30,unknown,70001,1,1,0,,31313,33551,0,300,357,57,urban,15.21,,,,,,True
