תאריך_התחלה,תאריך_סיום,סוג,שם,טיפול,חלון_שעות,היקף,הערה
2026-02-02,,מועד,"ט""ו בשבט",keep,כל היום,ארצי,השפעה זניחה
2026-03-02,,צום,תענית אסתר,keep,כל היום,ארצי,צום קל
2026-03-03,,מועד,פורים,segment,כל היום,ארצי,דפוס מיוחד; באלעד ראה חריגי_אזור
2026-03-04,,מועד,שושן פורים,keep,כל היום,ערים מוקפות חומה,ברשת מטרופולין keep
2026-04-01,,ערב_חג,ערב פסח,drop,כל היום,ארצי,"תנועה כבדה, יציאה מוקדמת"
2026-04-02,,חג,פסח — חג ראשון,drop,כל היום,ארצי,"תח""צ מצומצמת"
2026-04-03,2026-04-07,חול_המועד,חול המועד פסח,segment,כל היום,ארצי,פרופיל חופשה; באלעד תגבור — ראה חריגי_אזור
2026-04-08,,חג,שביעי של פסח,drop,כל היום,ארצי,"תח""צ מצומצמת"
2026-04-14,,יום_זיכרון,יום השואה והגבורה,keep,09:45-10:15,ארצי,צפירה 10:00; drop רק לחלון אם נדרש
2026-04-21,,יום_זיכרון,יום הזיכרון לחללי מערכות ישראל,drop,כל היום,ארצי,"צפירות, עצירת תנועה, חסימות"
2026-04-22,,יום_עצמאות,יום העצמאות ה-78,drop,כל היום,ארצי,"חסימות, אירועים"
2026-05-01,,מועד,פסח שני,keep,כל היום,ארצי,אין השפעה
2026-05-05,,מועד,"ל""ג בעומר",keep,כל היום,ארצי,מדורות בערב; שקול חלון ערב
2026-05-21,,ערב_חג,ערב שבועות,drop,כל היום,ארצי,תנועה כבדה
2026-05-22,,חג,שבועות,drop,כל היום,ארצי,"תח""צ מצומצמת (שישי)"
2026-07-02,,צום,"י""ז בתמוז",keep,כל היום,ארצי,צום קל
2026-07-23,,צום,תשעה באב,keep,כל היום,ארצי,שקול segment בערב
2026-07-29,,מועד,"ט""ו באב",keep,כל היום,ארצי,אין השפעה
2026-09-11,,ערב_חג,ערב ראש השנה,drop,כל היום,ארצי,שישי + ערב חג
2026-09-12,2026-09-13,חג,ראש השנה,drop,כל היום,ארצי,יומיים
2026-09-14,,צום,צום גדליה,keep,כל היום,ארצי,צום קל
2026-09-20,,ערב_חג,ערב יום כיפור,drop,כל היום,ארצי,תנועה כבדה ואז עצירה
2026-09-21,,חג,יום כיפור,drop,כל היום,ארצי,drop מוחלט
2026-09-25,,ערב_חג,ערב סוכות,drop,כל היום,ארצי,שישי + ערב חג
2026-09-26,,חג,סוכות — חג ראשון,drop,כל היום,ארצי,"תח""צ מצומצמת"
2026-09-27,2026-10-01,חול_המועד,חול המועד סוכות,segment,כל היום,ארצי,פרופיל חופשה; באלעד תגבור — ראה חריגי_אזור
2026-10-02,,ערב_חג,"הושענא רבה / ערב שמח""ת",drop,כל היום,ארצי,ערב חג (שישי)
2026-10-03,,חג,שמחת תורה,drop,כל היום,ארצי,"תח""צ מצומצמת (שבת)"
2026-12-05,2026-12-12,מועד,חנוכה,keep,כל היום,ארצי,"ימי חול; חופשת בי""ס — ראה תקופות"
2026-12-20,,צום,י' בטבת,keep,כל היום,ארצי,צום קל
