ייחודיות_קו,מס_קווים,רגיש_ל,טיפול_מומלץ,הערה
סדיר,156,הלוח הארצי הסטנדרטי,לפי לוח,ברירת מחדל — מקבל את כל ההחרגות הארציות
תלמידים,47,"חופשות בי""ס (חופש גדול, חנוכה, חגים)",segment,אינם פועלים/מצומצמים בחופשות; נתח רק ימי לימודים
סדיר - מגזר,12,חגי האסלאם,segment,המשולש; רידוד ~50%; פועלים בשבת יהודית
סדיר - מאושר שבת,5,שבת/חג יהודי (פועלים!),keep,חריג — מדוד ביצוע גם בשבת/חג
לילה,5,-,keep,אינם מושפעים ייחודית מחגים; בדוק ערבי חג בנפרד
סדיר - חרדים,4,חגים יהודיים + בין הזמנים,segment,"תגבור; דפוס חרדי (נתניה→ב""ב/בית שמש)"
"סדיר - נתב""ג",3,-,keep,"תלוי לוח טיסות, לא חגים מקומיים"
סדיר - מגזר מאושר שבת,3,חגי אסלאם (פועלים בשבת יהודית),segment,"טירה/טייבה; רידוד באסלאם, פעילים בשבת"
עונתי - בין הזמנים,2,תקופות חופשת ישיבות,segment,אלעד; עונתי-חרדי
קווים מזינים,2,-,keep,תלוי בקו האם — בדוק הקשר
