route_mkt,route_short_name,cluster,branch,vehicle_type,line_uniqueness,od
11501,501,שרון חולון מרחבי,500,עירוני,סדיר,רעננה/תל אביב יפו
10524,524,שרון חולון מרחבי,500,עירוני,סדיר,רעננה/בני ברק
10525,525,שרון חולון מרחבי,500,עירוני,סדיר,רעננה/רמת גן
10531,531,שרון חולון מרחבי,500,עירוני,סדיר,רעננה/תל אביב יפו
10561,561,שרון חולון מרחבי,500,עירוני,סדיר,כפר סבא/פתח תקווה
10572,572,שרון חולון מרחבי,500,עירוני,סדיר,כפר סבא/תל אביב יפו
73008,8,שרון חולון מרחבי,500,עירוני,סדיר,רמת השרון/רמת השרון
59021,21,שרון חולון מרחבי,500,עירוני,סדיר,תל אביב יפו/רמת השרון
16024,24,שרון חולון מרחבי,500,עירוני,סדיר מאושר שבת,תל אביב יפו/רמת השרון
20048,48,שרון,500,עירוני,סדיר,רעננה/תל אביב יפו
52014,14,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/כפר סבא
28055,55,בקעת אונו,חולון,מפרקי,סדיר מאושר שבת,תל אביב יפו/קרית אונו
12247,247,שרון,500,עירוני,סדיר מאושר שבת,כפר סבא/תל אביב יפו
11249,249,שרון,500,עירוני,סדיר,כפר סבא/תל אביב יפו
11909,909,שרון חולון מרחבי,500,עירוני,תלמידים,רמת השרון/רמת השרון
70001,1,בקעת אונו,אונו,עירוני,סדיר,אור יהודה/רמת גן
22007,7,בקעת אונו,חולון,עירוני,סדיר,תל אביב יפו/רמת גן
71011,11,בקעת אונו,אונו,עירוני,תלמידים,אור יהודה/אור יהודה
23018,18,בקעת אונו,חולון,עירוני,סדיר,רמת גן/אור יהודה
40028,28,בקעת אונו,אונו,עירוני,סדיר,תל אביב יפו/קרית אונו
21037,37,בקעת אונו,חולון,עירוני,סדיר מאושר שבת,תל אביב יפו/יהוד מונוסון
20058,58,בקעת אונו,אלעד,עירוני,סדיר,רמת גן/שוהם
21059,59,בקעת אונו,אונו,עירוני,סדיר,תל אביב יפו/אור יהודה
14068,68,בקעת אונו,חולון,עירוני,סדיר,תל אביב יפו/קרית אונו
15069,69,בקעת אונו,אונו,עירוני,סדיר,תל אביב יפו/רמת גן
23076,76,בקעת אונו,אונו,עירוני,סדיר,פתח תקווה/אור יהודה
33077,77,בקעת אונו,אונו,עירוני,סדיר,אור יהודה/פתח תקווה
17078,78,בקעת אונו,אונו,עירוני,סדיר,פתח תקווה/אור יהודה
37085,85,בקעת אונו,אלעד,עירוני,סדיר,פתח תקווה/שוהם
10137,137,בקעת אונו,אונו,עירוני,סדיר,תל אביב יפו/יהוד מונוסון
23056,56,בקעת אונו,חולון,עירוני,סדיר מאושר שבת,תל אביב יפו/יהוד מונוסון
13139,139,בקעת אונו,חולון,עירוני,סדיר,רמת גן/ראשון לציון
11168,168,בקעת אונו,אונו,עירוני,סדיר,תל אביב יפו/קרית אונו
10236,236,בקעת אונו,אונו,עירוני,סדיר,תל אביב יפו/אור יהודה
14256,256,בקעת אונו,אונו,עירוני,סדיר,גני תקווה/תל אביב יפו
16385,385,בקעת אונו,אלעד,עירוני,סדיר,פתח תקווה/שוהם
11398,398,בקעת אונו,אונו,עירוני,תלמידים,בית דגן/יהוד מונוסון
11436,436,בקעת אונו,אונו,עירוני,סדיר,בני ברק/חמד
37008,8,בקעת אונו,אונו,עירוני,סדיר,פתח תקווה/רמת גן
27001,1,שרון חולון מרחבי,שרון בינעירוני,מיניבוס,סדיר - מגזר מאושר שבת,טייבה/טייבה
58002,2,בקעת אונו,אונו,עירוני,סדיר,רמת גן/רמת גן
42010,10,בקעת אונו,אונו,עירוני,סדיר,רמת גן/רמת גן
24004,4,בקעת אונו,אלעד,עירוני,סדיר,אלעד/אלעד
69005,5,בקעת אונו,אלעד,עירוני,סדיר,אלעד/אלעד
47006,6,בקעת אונו,אלעד,עירוני,סדיר,אלעד/אלעד
15173,173,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/רמת גן
15174,174,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/לוד
11176,176,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/ראש העין
11179,179,בקעת אונו,אלעד,עירוני,סדיר,אלעד/פתח תקווה
12180,180,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/בני ברק
11251,251,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/אשדוד
12270,270,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/נתניה
13271,271,בקעת אונו,אלעד,בינעירוני,עונתי - בין הזמנים,אלעד/הרצליה
13275,275,בקעת אונו,אלעד,בינעירוני,עונתי - בין הזמנים,"אלעד/ת""א"
10276,276,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/ראש העין
10277,277,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/ירושלים
10278,278,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/תל אביב יפו
19279,279,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/פתח תקווה
11280,280,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/בני ברק
12281,281,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/מודיעין עילית
11283,283,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/אשדוד
11377,377,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/ירושלים
11379,379,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/תל אביב יפו
19380,380,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/בני ברק
11453,453,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/ירושלים
12477,477,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/ירושלים
11577,577,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/ירושלים
10590,590,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/צפת
10595,595,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/קרית מלאכי
10596,596,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/נתיבות
14597,597,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/קוממיות
10974,974,בקעת אונו,אלעד,בינעירוני,סדיר,אלעד/חיפה
14444,444,בקעת אונו,אלעד,בינעירוני,"סדיר - נתב""ג",רעננה/נמל תעופה בן גוריון
13445,445,בקעת אונו,אלעד,בינעירוני,"סדיר - נתב""ג",תל אביב יפו/נמל תעופה בן גוריון
12446,446,בקעת אונו,אלעד,בינעירוני,"סדיר - נתב""ג",פתח תקווה/נמל תעופה בן גוריון
11163,63,בקעת אונו,אלעד - לא ברישוי,בינעירוני,הסעת ישיבה- לא ברישוי,אלעד/אלעד
11165,65,בקעת אונו,אלעד - לא ברישוי,בינעירוני,הסעת ישיבה- לא ברישוי,אלעד/אלעד
61001,1,הנגב,"ב""ש",עירוני,סדיר,ערד/ערד
48002,2,הנגב,"ב""ש",עירוני,סדיר,ערד/ערד
78003,3,הנגב,"ב""ש",עירוני,סדיר,ערד/ערד
83005,5,הנגב,"ב""ש",עירוני,סדיר,ערערה בנגב/ערערה בנגב
27010,10,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/תל שבע
44011,11,הנגב,"ב""ש",עירוני,סדיר,ערד/ערד
43012,12,הנגב,"ב""ש",עירוני,סדיר,ערד/ערד
72015,15,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/תל שבע
24020,20,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/כסיפה
35021,21,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/דריג'את
19024,24,הנגב,"ב""ש",בינעירוני,סדיר,ערד/כסיפה
25025,25,הנגב,"ב""ש",בינעירוני,סדיר,ערד/כרמל
20026,26,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/אשכולות
22028,28,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/מיתר
21030,30,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/לקיה
26036,36,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ביר הדאג'
17037,37,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/עומר
19044,44,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ניצני סיני
21045,45,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/כפר רתמים
18046,46,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/באר שבע
23047,47,הנגב,"ב""ש",בינעירוני,סדיר,דימונה/ערד
19050,50,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ערערה בנגב
19054,54,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/באר שבע
24055,55,הנגב,"ב""ש",בינעירוני,סדיר,מצפה רמון/דימונה
35056,56,הנגב,"ב""ש",בינעירוני,סדיר,קוממיות/אשדוד
16059,59,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/כסיפה
23060,60,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/מצפה רמון
20062,62,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/חורה
22064,64,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/מצפה רמון
18065,65,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/מצפה רמון
19066,66,הנגב,"ב""ש",בינעירוני,סדיר,דימונה/ערערה בנגב
16067,67,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/קסר א סיר
15068,68,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/רמת הנגב
24070,70,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/שגב שלום
31074,74,הנגב,"ב""ש",בינעירוני,תלמידים,רחובות/קרית גת
39080,80,הנגב,"ב""ש",עירוני,תלמידים,ערד/ערד
14117,117,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/כסיפה
12120,120,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/כסיפה
13126,126,הנגב,"ב""ש",בינעירוני נגיש,סדיר,באר שבע/א סייד
15137,137,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/עומר
