cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative
שרון חולון מרחבי,15,605,10605,1,#
שרון חולון מרחבי,15,601,10601,2,1
שרון חולון מרחבי,15,605,10605,2,#
שרון חולון מרחבי,15,142,13142,2,#
שרון חולון מרחבי,15,213,15213,2,#
שרון חולון מרחבי,15,222,27222,2,#
שרון חולון מרחבי,15,616,10616,2,1
שרון חולון מרחבי,15,505,11505,2,#
שרון חולון מרחבי,15,24,16024,1,1
שרון חולון מרחבי,15,561,10561,1,#
שרון חולון מרחבי,15,8,73008,2,#
שרון חולון מרחבי,15,24,16024,2,#
שרון חולון מרחבי,15,23,27023,2,#
שרון חולון מרחבי,15,532,10532,2,#
שרון חולון מרחבי,15,532,10532,2,1
שרון חולון מרחבי,15,607,10607,1,#
שרון חולון מרחבי,15,624,10624,1,#
שרון חולון מרחבי,15,699,11699,2,#
שרון חולון מרחבי,15,524,10524,1,#
שרון חולון מרחבי,15,501,11501,1,5
שרון חולון מרחבי,15,532,10532,1,#
שרון חולון מרחבי,15,551,10551,2,1
שרון חולון מרחבי,15,575,10575,1,#
שרון חולון מרחבי,15,13,27013,1,1
שרון חולון מרחבי,15,604,10604,1,#
שרון חולון מרחבי,15,606,10606,1,1
שרון חולון מרחבי,15,617,10617,2,#
שרון חולון מרחבי,15,609,11609,2,#
שרון חולון מרחבי,15,504,10504,2,#
שרון חולון מרחבי,15,623,10623,2,#
שרון חולון מרחבי,15,621,10621,2,#
שרון חולון מרחבי,15,12,23012,1,1
שרון חולון מרחבי,15,624,10624,2,#
שרון חולון מרחבי,15,531,10531,1,#
שרון חולון מרחבי,15,572,10572,1,#
שרון חולון מרחבי,15,501,11501,1,#
שרון חולון מרחבי,15,561,10561,2,#
שרון חולון מרחבי,15,8,73008,1,#
שרון חולון מרחבי,15,601,10601,1,#
שרון חולון מרחבי,15,13,27013,1,#
שרון חולון מרחבי,15,113,17113,1,#
שרון חולון מרחבי,15,13,27013,2,1
שרון חולון מרחבי,15,505,11505,1,#
שרון חולון מרחבי,15,551,10551,1,1
שרון חולון מרחבי,15,570,10570,1,#
שרון חולון מרחבי,15,619,12619,1,#
שרון חולון מרחבי,15,619,12619,2,#
שרון חולון מרחבי,15,608,13608,2,#
שרון חולון מרחבי,15,699,11699,1,#
שרון חולון מרחבי,15,24,16024,2,1
שרון חולון מרחבי,15,532,10532,1,1
שרון חולון מרחבי,15,113,17113,2,#
שרון חולון מרחבי,15,13,27013,2,#
שרון חולון מרחבי,15,564,10564,2,#
שרון חולון מרחבי,15,570,10570,2,#
שרון חולון מרחבי,15,504,10504,1,#
שרון חולון מרחבי,15,551,10551,2,#
שרון חולון מרחבי,15,605,10605,1,1
שרון חולון מרחבי,15,606,10606,1,#
שרון חולון מרחבי,15,609,11609,1,#
שרון חולון מרחבי,15,608,13608,2,1
שרון חולון מרחבי,15,145,12145,1,1
שרון חולון מרחבי,15,576,10576,1,#
שרון חולון מרחבי,15,650,10650,1,#
שרון חולון מרחבי,15,6,22006,1,1
שרון חולון מרחבי,15,26,14026,2,#
שרון חולון מרחבי,15,126,11126,2,#
בקעת אונו אלעד,15,436,11436,2,0
בקעת אונו אלעד,15,8,37008,2,0
בקעת אונו אלעד,15,115,16115,2,0
בקעת אונו אלעד,15,1,70001,1,0
בקעת אונו אלעד,15,1,70001,2,1
שרון חולון מרחבי,15,623,10623,1,#
שרון חולון מרחבי,15,298,14298,1,#
שרון חולון מרחבי,15,551,10551,1,#
שרון חולון מרחבי,15,564,10564,1,#
שרון חולון מרחבי,15,606,10606,2,#
שרון חולון מרחבי,15,610,10610,2,#
שרון חולון מרחבי,15,608,13608,1,#
שרון חולון מרחבי,15,608,13608,1,1
שרון חולון מרחבי,15,567,10567,1,1
שרון חולון מרחבי,15,604,10604,2,#
שרון חולון מרחבי,15,650,10650,2,#
שרון חולון מרחבי,15,37,27037,2,#
שרון חולון מרחבי,15,124,14124,1,#
שרון חולון מרחבי,15,124,14124,2,#
שרון חולון מרחבי,15,126,11126,1,#
שרון חולון מרחבי,15,13,36013,1,#
שרון חולון מרחבי,15,24,16024,1,#
שרון חולון מרחבי,15,524,10524,2,#
שרון חולון מרחבי,15,572,10572,2,#
שרון חולון מרחבי,15,531,10531,2,#
שרון חולון מרחבי,15,21,59021,2,#
שרון חולון מרחבי,15,602,10602,1,#
שרון חולון מרחבי,15,570,10570,1,1
שרון חולון מרחבי,15,603,13603,1,#
שרון חולון מרחבי,15,145,12145,1,#
שרון חולון מרחבי,15,145,12145,2,#
שרון חולון מרחבי,15,611,13611,2,#
