group_en,group_he,method,path,summary,description,required_params,optional_params,analyst_use_case
user cases,מקרי שימוש,GET,/route_timetable/list,List ,List of the stops timetable of a given bus.,,"limit, offset, get_count, planned_start_time_date_from, planned_start_time_date_to, line_refs",לוח זמנים מתוכנן לתחנה/קו לתאריך נתון
user cases,מקרי שימוש,GET,/stop_arrivals/list,List ,List of the actual arrival times to a specific stop.,,"limit, offset, get_count, gtfs_stop_id, gtfs_ride_ids",זמני הגעה בפועל לתחנה (SIRI)
user cases,מקרי שימוש,GET,/rides_execution/list,List ,List of A comparison between the planned and actual rides of a specific route between the given dates.,"date_from, date_to, operator_ref, line_ref","limit, offset, get_count",השוואת נסיעות מתוכננות מול ביצוע בפועל
siri,נתוני SIRI (ביצוע),GET,/siri_routes/list,List ,List of siri routes.,,"limit, offset, get_count, line_refs, operator_refs, order_by",מסלולי SIRI (זיהוי קו בזמן אמת)
siri,נתוני SIRI (ביצוע),GET,/siri_routes/get,Get ,Return a single siri route based on id,id,,מסלולי SIRI (זיהוי קו בזמן אמת)
siri,נתוני SIRI (ביצוע),GET,/siri_rides/list,List ,List of siri rides.,,"limit, offset, get_count, gtfs_route__date_from, gtfs_route__date_to, gtfs_route__line_refs, gtfs_route__operator_refs, gtfs_route__route_short_name, gtfs_route__route_long_name_contains, gtfs_route__route_mkt, gtfs_route__route_direction, gtfs_route__route_alternative, gtfs_route__agency_name, gtfs_route__route_type, gtfs_ride__gtfs_route_id, gtfs_ride__journey_ref_prefix, gtfs_ride__start_time_from, gtfs_ride__start_time_to, siri_route_ids, siri_route__line_refs, siri_route__operator_refs, journey_ref_prefix, journey_refs, vehicle_refs, scheduled_start_time_from, scheduled_start_time_to, order_by",נסיעות SIRI עם נתוני ביצוע
siri,נתוני SIRI (ביצוע),GET,/siri_rides/get,Get ,Return a single siri ride based on id,id,,נסיעות SIRI עם נתוני ביצוע
siri,נתוני SIRI (ביצוע),GET,/siri_stops/list,List ,List of siri stops.,,"limit, offset, get_count, codes, order_by",תחנות SIRI
siri,נתוני SIRI (ביצוע),GET,/siri_stops/get,Get ,Return a single siri stop based on id,id,,תחנות SIRI
siri,נתוני SIRI (ביצוע),GET,/siri_ride_stops/list,List ,List of siri ride stops.,,"limit, offset, get_count, siri_stop_ids, siri_ride_ids, siri_vehicle_location__lon__greater_or_equal, siri_vehicle_location__lon__lower_or_equal, siri_vehicle_location__lat__greater_or_equal, siri_vehicle_location__lat__lower_or_equal, siri_vehicle_location__recorded_at_time_from, siri_vehicle_location__recorded_at_time_to, siri_ride__scheduled_start_time_from, siri_ride__scheduled_start_time_to, gtfs_stop__lat__greater_or_equal, gtfs_stop__lat__lower_or_equal, gtfs_stop__lon__greater_or_equal, gtfs_stop__lon__lower_or_equal, gtfs_date_from, gtfs_date_to, order_by",עצירות SIRI לנסיעה ספציפית
siri,נתוני SIRI (ביצוע),GET,/siri_ride_stops/get,Get ,Return a single siri ride stop based on id,id,,עצירות SIRI לנסיעה ספציפית
